country,year,currency
"Canada, 1600 - 2025",1915,1.0040 Canadian Dollar
"Canada, 1600 - 2025",1916,1.0020 Canadian Dollar
"Canada, 1600 - 2025",1917,1.0020 Canadian Dollar
"Canada, 1600 - 2025",1919,1.0460 Canadian Dollar
"Canada, 1600 - 2025",1920,1.1200 Canadian Dollar
"Canada, 1600 - 2025",1921,1.1170 Canadian Dollar
"Canada, 1600 - 2025",1922,1.0150 Canadian Dollar
"Canada, 1600 - 2025",1923,1.0200 Canadian Dollar
"Canada, 1600 - 2025",1924,1.0130 Canadian Dollar
"Canada, 1600 - 2025",1925,1.0000 Canadian Dollar
"Canada, 1600 - 2025",1926,1.0000 Canadian Dollar
"Canada, 1600 - 2025",1927,1.0000 Canadian Dollar
"Canada, 1600 - 2025",1928,1.0010 Canadian Dollar
"Canada, 1600 - 2025",1929,1.0080 Canadian Dollar
"Canada, 1600 - 2025",1930,1.0020 Canadian Dollar
"Canada, 1600 - 2025",1931,1.0380 Canadian Dollar
"Canada, 1600 - 2025",1932,1.1350 Canadian Dollar
"Canada, 1600 - 2025",1933,1.0870 Canadian Dollar
"Canada, 1600 - 2025",1934,0.9900 Canadian Dollar
"Canada, 1600 - 2025",1935,1.0050 Canadian Dollar
"Canada, 1600 - 2025",1936,1.0010 Canadian Dollar
